reward_today,future_reward,delay,key_resp.keys,K,,,,,
70,71,141,t,0.000101317,,0.011051669,,,
78,80,162,t,0.000158278,,,,,0.011051669
78,80,162,l,0.000158278,,,,,
78,80,162,t,0.000158278,,,,,
78,80,162,t,0.000158278,,,,,
69,71,136,t,0.000213129,,,,,
68,71,194,t,0.000227411,,,,,
70,72,107,t,0.000267023,,,,,
123,125,54,t,0.000301114,,,,,
25,27,250,t,0.00032,,,,,
69,72,124,t,0.000350631,,,,,
1034,1254,456,l,0.000466592,,,,,
78,98,521,t,0.00049215,,,,,
456,654,852,l,0.000509637,,,,,
600,700,321,t,0.000519211,,,,,
69,74,108,t,0.000670961,,,,,
68,76,155,t,0.000759013,,,,,
66,73,131,t,0.000809623,,,,,
324,456,465,l,0.000876145,,,,,
70,83,198,t,0.000937951,,,,,
67,75,119,t,0.001003386,,,,,
67,75,119,t,0.001003386,,,,,
67,75,119,t,0.001003386,,,,,
67,75,119,t,0.001003386,,,,,
70,78,112,t,0.001020408,,,,,
62,75,171,t,0.001226184,,,,,
69,75,69,t,0.001260239,,,,,
64,80,196,t,0.00127551,,,,,
70,83,145,t,0.001280788,,,,,
56,65,123,t,0.00130662,,,,,
69,73,36,t,0.001610306,,,,,
85,120,254,l,0.001621121,,,,,
70,92,189,t,0.001662887,,,,,
69,86,148,t,0.001664708,,,,,
500,510,12,t,0.001666667,,,,,
67,85,159,l,0.001689665,,,,,
54,73,200,t,0.001759259,,,,,
68,76,65,t,0.001809955,,,,,
78,100,154,l,0.001831502,,,,,
156,354,644,l,0.001970855,,,,,
70,95,180,t,0.001984127,,,,,
67,81,100,t,0.002089552,,,,,
58,73,123,t,0.002102607,,,,,
54,76,185,t,0.002202202,,,,,
66,87,139,t,0.002289078,,,,,
70,99,180,t,0.002301587,,,,,
51,73,182,t,0.002370179,,,,,
65,89,149,t,0.002478059,,,,,
57,85,197,t,0.002493544,,,,,
55,79,174,t,0.002507837,,,,,
49,60,89,t,0.002522357,,,,,
49,60,89,t,0.002522357,,,,,
49,60,89,t,0.002522357,,,,,
49,60,89,t,0.002522357,,,,,
56,70,97,t,0.00257732,,,,,
68,74,34,t,0.002595156,,,,,
450,500,42,t,0.002645503,,,,,
425,452,23,l,0.002762148,,,,,
400,456,50,l,0.0028,,,,,
300,321,25,l,0.0028,,,,,
60,92,188,t,0.002836879,,,,,
55,77,139,t,0.002877698,,,,,
64,85,109,t,0.003010321,,,,,
52,70,112,t,0.003090659,,,,,
47,72,172,t,0.003092528,,,,,
54,85,177,t,0.003243356,,,,,
66,87,98,t,0.003246753,,,,,
59,75,83,l,0.003267307,,,,,
64,77,62,t,0.00327621,,,,,
45,71,172,t,0.003359173,,,,,
64,87,106,t,0.00339033,,,,,
50,75,147,t,0.003401361,,,,,
50,80,176,t,0.003409091,,,,,
57,76,96,t,0.003472222,,,,,
320,1000,612,l,0.003472222,,,,,
57,68,55,l,0.003508772,,,,,
60,72,56,t,0.003571429,,,,,
54,92,195,t,0.003608737,,,,,
90,100,30,t,0.003703704,,,,,
56,87,146,t,0.003791585,,,,,
231,300,78,l,0.003829504,,,,,
215,234,23,l,0.003842265,,,,,
57,86,130,t,0.00391363,,,,,
46,82,194,l,0.004034065,,,,,
47,78,163,t,0.004046469,,,,,
500,564,30,l,0.004266667,,,,,
970,987,4,l,0.004381443,,,,,
55,75,80,l,0.004545455,,,,,
42,76,176,t,0.004599567,,,,,
70,94,74,l,0.004633205,,,,,
39,75,194,t,0.004758128,,,,,
52,96,177,t,0.00478053,,,,,
64,79,49,t,0.004783163,,,,,
61,94,112,t,0.004830211,,,,,
42,78,177,t,0.004842615,,,,,
87,98,26,l,0.004862953,,,,,
50,84,139,t,0.004892086,,,,,
57,73,56,l,0.005012531,,,,,
46,70,104,t,0.005016722,,,,,
59,97,124,t,0.005194095,,,,,
49,91,165,t,0.005194805,,,,,
40,60,95,t,0.005263158,,,,,
123,140,26,t,0.005315822,,,,,
55,77,75,t,0.005333333,,,,,
43,88,196,t,0.005339345,,,,,
54,78,83,t,0.005354752,,,,,
40,75,163,t,0.005368098,,,,,
